CALENDAR DATE,CALENDAR TIME,SYMBO,LAST PRICE,LAST SHARES,SIDE
06/08/09,39972.54865,F2 ZN\U09,113.46875,2,1
06/08/09,39972.54865,F2 ZN\U09,113.46875,1,1
06/08/09,39972.57674,F2 ZN\U09,113.453125,5,0
06/08/09,39972.58338,F2 ZN\U09,113.4375,1,1
06/08/09,39972.59031,F2 ZN\U09,113.4375,2,1
06/08/09,39972.60433,F2 ZN\U09,113.34375,2,0
06/08/09,39972.62712,F2 ZN\U09,113.25,4,1
06/08/09,39972.63893,F2 ZN\U09,113.1875,4,0
06/08/09,39972.63893,F2 ZN\U09,113.1875,2,0
06/08/09,39972.64587,F2 ZN\U09,113.171875,1,1
06/08/09,39972.67307,F2 ZN\U09,113.109375,1,0
06/09/09,39973.26392,F2 ZN\U09,113.625,3,0
06/09/09,39973.25003,F2 ZN\U09,113.59375,3,0
06/09/09,39973.25858,F2 ZN\U09,113.625,2,1
06/09/09,39973.25866,F2 ZN\U09,113.625,1,1
06/09/09,39973.2431,F2 ZN\U09,113.59375,3,1
06/09/09,39973.23614,F2 ZN\U09,113.5625,4,1
06/09/09,39973.2292,F2 ZN\U09,113.5625,1,0
06/09/09,39973.21531,F2 ZN\U09,113.65625,3,0
06/09/09,39973.20855,F2 ZN\U09,113.671875,4,0
06/09/09,39973.18789,F2 ZN\U09,113.625,1,1
06/09/09,39973.17416,F2 ZN\U09,113.609375,1,1
06/09/09,39973.17416,F2 ZN\U09,113.609375,1,1
06/09/09,39973.17416,F2 ZN\U09,113.609375,1,1
06/09/09,39973.1667,F2 ZN\U09,113.59375,3,0
06/09/09,39973.15281,F2 ZN\U09,113.546875,3,1
06/09/09,39973.13958,F2 ZN\U09,113.5,1,1
06/09/09,39973.12503,F2 ZN\U09,113.53125,1,0
06/09/09,39973.13198,F2 ZN\U09,113.5,1,0
06/09/09,39973.0903,F2 ZN\U09,113.5,6,1
06/09/09,39973.10474,F2 ZN\U09,113.5625,2,1
06/09/09,39973.12044,F2 ZN\U09,113.53125,3,0
06/09/09,39973.27781,F2 ZN\U09,113.578125,3,0
06/09/09,39973.29185,F2 ZN\U09,113.578125,1,1
06/09/09,39973.29197,F2 ZN\U09,113.578125,3,1
06/09/09,39973.29198,F2 ZN\U09,113.578125,2,1
06/09/09,39973.29876,F2 ZN\U09,113.53125,6,0
06/09/09,39973.31386,F2 ZN\U09,113.53125,3,1
